"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","selection","image_1","image_2","audio_1","audio_2","order","category","species"
"2585","Click to begin","0","html-button-response","0","2591","0.0-0.0","","","","","","","",""
"1349","","","animal-sounds","1","15040","0.0-1.0","B","animal-sounds/img/bird.svg","animal-sounds/img/bird.svg","animal-sounds/sounds/animalSounds_063.mp3","animal-sounds/sounds/animalSounds_068.mp3","AB","Bird","Zebra finch"
"2288","","","animal-sounds","2","24473","0.0-2.0","B","animal-sounds/img/bird.svg","animal-sounds/img/bird.svg","animal-sounds/sounds/animalSounds_138.mp3","animal-sounds/sounds/animalSounds_139.mp3","AB","Bird","Swamp sparrow"
